Nr;Kategorie;Frage;Antwort A;Antwort B;Antwort C;Antwort D;Loesung;Paragraf;Begruendung
479;IT-Datenschutz;Darf der AG "Künstliche Intelligenz" zur Auswahl von Bewerbern nutzen?;Ja;Nein (Mitbestimmung/Diskriminierung);Nur bei Google;Nur bei Azubis;B;§ 95 BetrVG / AGG;Der Einsatz von KI-Tools bei Personalauswahlrichtlinien bedarf zwingend der Zustimmung des BR.
480;Allgemein;Was ist eine "Amtsenthebung" eines BR-Mitglieds?;Ein Lob;Ausschluss bei grober Pflichtverletzung;Ein Fest;Ein Abzug;B;§ 23 Abs. 1 BetrVG;Bei groben Verstößen gegen gesetzliche Pflichten kann das Arbeitsgericht ein Mitglied aus dem BR ausschließen.
481;Stahl;Darf der BR "Hitzeschutzzulagen" fordern?;Nein;Ja (Erschwernis-Mitbestimmung);Nur im Sommer;Nur nachts;B;§ 87 Abs. 1 Nr. 10 BetrVG;Soweit keine tarifliche Regelung besteht, kann der BR Grundsätze für Zulagen bei besonderen Belastungen mitverhandeln.
482;Kuendigung;Darf der BR einer Kündigung wegen "Alters" widersprechen?;Ja;Nein;Nur bei Azubis;Nur im Sommer;A;§ 102 Abs. 3 BetrVG;Widerspruch ist möglich, wenn der AG bei der Sozialauswahl das Lebensalter falsch berücksichtigt hat.
483;Kuendigung;Was ist eine "Sammelkündigung"?;Eine Kündigung;Kündigung vieler MA gleichzeitig;Ein Fest;Ein Abzug;B;§ 17 KSchG;Andere Bezeichnung für Massenentlassung, die besondere Anzeigepflichten auslöst.
484;Arbeitszeit;Darf der AG "Handyverbot am Arbeitsplatz" einseitig anordnen?;Ja;Nein (Mitbestimmung);Nur bei Stahl;Nur nachts;B;§ 87 Abs. 1 Nr. 1 BetrVG;Allgemeine Verhaltensregeln im Betrieb (wie Handyverbote) unterliegen der Mitbestimmung.
485;Arbeitszeit;Darf der BR "Arbeitszeitverkürzung zur Beschäftigungssicherung" fordern?;Nein;Ja (Initiativrecht);Nur bei Stahl;Nur nachts;B;§ 92a BetrVG;Der BR kann Vorschläge zur Sicherung der Beschäftigung (z.B. 4-Tage-Woche statt Entlassung) machen.
486;Rechte;Darf der BR "Kosten für eine Cloud-Lösung" verlangen?;Nein;Ja (wenn für BR-Arbeit erforderlich);Nur bei IT-lern;Nur nachts;B;§ 40 Abs. 2 BetrVG;Zur sicheren Ablage von BR-Daten kann eine Cloud-Lösung oder ein eigener Server beansprucht werden.
487;Arbeitsschutz;Wer ist für "Lärmschutz-Kopfhörer" zuständig?;Der MA;Der Arbeitgeber (Kosten/Bereitstellung);Der BR;Die Krankenkasse;B;§ 3 PSA-BV;Der AG muss die erforderliche Schutzausrüstung kostenfrei zur Verfügung stellen.
488;Gehalt;Was ist eine "Tarifautonomie"?;Urlaub für alle;Recht der Gewerkschaften auf Tarifverträge;Ein Gesetz;Ein Abzug;B;Art. 9 Abs. 3 GG;Der Staat darf sich nicht in die Lohnverhandlungen zwischen Gewerkschaft und AG-Verband einmischen.
489;Gehalt;Was ist ein "Streikgeld"?;Lohn vom Chef;Ersatzleistung der Gewerkschaft;Ein Kredit;Ein Abzug;B;Gewerkschaftssatzung;Da der AG im Streik keinen Lohn zahlt, erhalten Gewerkschaftsmitglieder finanzielle Unterstützung aus der Streikkasse.
490;Bildung;Darf der BR Schulungen zum "Insolvenzrecht" besuchen?;Nein;Ja (wenn der Betrieb in der Krise ist);Nur der Vorsitz;Nur privat;B;§ 37 Abs. 6 BetrVG;Bei drohender Insolvenz muss der BR wissen, wie er die Interessen der Belegschaft schützt.
491;Allgemein;Was ist ein "Europäischer Betriebsrat" (EBR)?;Alle BR-Mitglieder;Gremium für grenzüberschreitende Themen;Ein Gesetz;Ein Abzug;B;EBRG;Wird in Unternehmen mit Standorten in verschiedenen EU-Ländern gebildet.
492;Stahl;Was regelt die "Stahl-Charta"?;Urlaub;Absprachen zur Zukunft der Stahlstandorte;Lohn;Pause;B;Politik/Wirtschaft;Oft informelle oder politische Abkommen zur Sicherung der Industrie in Deutschland.
493;IT-Datenschutz;Darf der AG "Künstliche Intelligenz" zur Videoanalyse nutzen?;Ja;Nein (hohe Hürden/Mitbestimmung);Nur bei Diebstahl;Nur nachts;B;§ 87 / DSGVO;KI-gestützte Videoüberwachung ist ein massiver Eingriff in das Persönlichkeitsrecht.
494;IT-Datenschutz;Muss der BR bei "Smart-Watches" im Werk zustimmen?;Nein;Ja (Datenübertragung/Kontrolle);Nur bei Apple;Nur bei Azubis;B;§ 87 Abs. 1 Nr. 6 BetrVG;Tragbare Computer (Wearables), die Leistungsdaten erfassen, sind mitbestimmungspflichtig.
495;Versetzung;Darf der BR einer Versetzung wegen "Sprachbarrieren" widersprechen?;Ja (Benachteiligung des MA);Nein;Nur bei Stahl;Nur nachts;A;§ 99 Abs. 2 Nr. 4 BetrVG;Wenn der MA am neuen Platz aufgrund fehlender Sprachkenntnisse überfordert wäre.
496;Arbeitsschutz;Muss der BR bei "Trinkwasserspendern" mitreden?;Nein;Ja (Soziale Einrichtung);Nur im Sommer;Nur bei Hitze;B;§ 87 Abs. 1 Nr. 8 BetrVG;Die Bereitstellung von Getränken im Betrieb (insb. an Hitzearbeitsplätzen) unterliegt der Mitbestimmung.
497;Gehalt;Darf der AG "Lohnvorschüsse" eigenmächtig kürzen?;Ja;Nein (nur im Rahmen der Pfändungsgrenzen);Nur bei Stahl;Nur nachts;B;Arbeitsrecht / BGB;Verrechnungen von Vorschüssen mit dem Lohn müssen die Existenzgrenzen des MA beachten.
498;Bildung;Muss der AG die "Übernachtung" zur BR-Schulung zahlen?;Nein;Ja (wenn Seminarort weit entfernt);Nur bei Stahl;Nur bei Chefs;B;§ 40 Abs. 1 BetrVG;Reise- und Übernachtungskosten gehören zu den notwendigen Kosten der BR-Tätigkeit.
499;Allgemein;Was ist ein "Minderheitsgeschlecht" im BR?;Männer;Das im Betrieb weniger stark vertretene Geschlecht;Frauen;Azubis;B;§ 15 Abs. 2 BetrVG;Sorgt dafür, dass Frauen und Männer im BR proportional zur Belegschaft vertreten sind.
500;Zeugnis;Muss ein Zeugnis "wohlwollend" sein?;Nein;Ja (Grundsatz der Zeugniswahrheit/-güte);Nur bei Stahl;Nur bei Kündigung;B;§ 109 GewO;Das Zeugnis darf das weitere Fortkommen des MA nicht unnötig erschweren, muss aber wahr sein.
501;Zeugnis;Was ist ein "Qualifiziertes Zeugnis"?;Nur Daten;Zeugnis mit Leistungs- und Führungskritik;Ein Lob;Ein Abzug;B;§ 109 GewO;Im Gegensatz zum einfachen Zeugnis enthält es eine detaillierte Bewertung der Arbeit des MA.
502;Zeugnis;Darf der AG "Krankheitstage" ins Zeugnis schreiben?;Ja;Nein (unzulässig);Nur bei 100 Tagen;Nur bei Stahl;B;Rechtsprechung;Krankheitszeiten haben im Zeugnis nichts zu suchen, außer sie machen den Großteil der Beschäftigungszeit aus.
503;Whistleblowing;Was ist das "Hinweisgeberschutzgesetz"?;Ein Verbot;Schutz für MA, die Missstände melden;Ein Streik;Ein Abzug;B;HinSchG;Schützt Personen, die im beruflichen Kontext Informationen über Verstöße erlangt haben und diese melden.
504;Whistleblowing;Muss der BR bei der "Meldestelle" mitreden?;Nein;Ja (Einrichtung und Ausgestaltung);Nur im Büro;Nur nachts;B;§ 87 Abs. 1 Nr. 1/6 BetrVG;Die Einführung eines internen Meldesystems betrifft das Ordnungsverhalten und oft die IT-Überwachung.
505;Dienstwagen;Darf der BR die "Dienstwagen-Richtlinie" mitbestimmen?;Nein;Ja (sofern kollektiver Bezug);Nur bei Chefs;Nur bei Stahl;B;§ 87 / Arbeitsrecht;Die allgemeinen Regeln, wer unter welchen Bedingungen einen Wagen bekommt, sind mitbestimmungspflichtig.
506;Dienstwagen;Ist die "1%-Regelung" Gesetz?;Ja;Nein (steuerliche Pauschale);Nur bei Stahl;Nur nachts;B;EStG;Pauschale zur Versteuerung der privaten Nutzung eines Dienstwagens.
507;Urheberrecht;Wem gehört eine "Software", die der MA im Job schreibt?;Dem MA;Dem Arbeitgeber;Dem BR;Niemandem;B;§ 69b UrhG;Schöpfungen, die in Erfüllung der Dienstpflichten entstehen, stehen in der Regel dem AG zur Verwertung zu.
508;Allgemein;Was ist ein "Betriebsübergang"?;Umzug;Verkauf des Betriebs an neuen Inhaber;Eine Kündigung;Ein Abzug;B;§ 613a BGB;Der neue Inhaber tritt in alle Rechte und Pflichten der bestehenden Arbeitsverhältnisse ein.
509;Allgemein;Darf der BR-Vorsitzende den "Aufsichtsratsvorsitz" innehaben?;Nein;Meist nein (Interessenskonflikt/Satzung);Nur bei Stahl;Nur nachts;B;AktG / MitbestG;In der Regel wird der AR-Vorsitzende von der Kapitalseite gestellt, der Stellvertreter von der AN-Seite.
510;Stahl;Was ist die "Kohle-Stahl-Union" heute?;Ein Verein;Die EU (historischer Ursprung);Eine Bank;Ein Ofen;B;Geschichte;Die Montanunion war der Vorläufer der heutigen EU und prägte die Sonderrechte der Mitbestimmung.
511;Kuendigung;Darf der AG "wegen mangelndem Deutsch" kündigen?;Nein;Ja (wenn Arbeit unmöglich ist);Nur bei Azubis;Nur im Sommer;B;KSchG;Möglich als personenbedingte Kündigung, wenn die Verständigung für die Sicherheit oder Arbeitsausführung zwingend ist.
512;Kuendigung;Was ist ein "Zwischenzeugnis"?;Ein Lob;Zeugnis während des laufenden Vertrags;Ein Abzug;Ein Kredit;B;Arbeitsrecht;MA haben bei berechtigtem Interesse (z.B. Vorgesetztenwechsel) Anspruch auf ein Zwischenzeugnis.
513;Rechte;Darf der BR "Berichte über Leiharbeit" veröffentlichen?;Ja (anonymisiert);Nein;Nur bei Streik;Nur nachts;A;§ 80 Abs. 2 BetrVG;Der BR darf die Belegschaft über den Umfang der Leiharbeit informieren, solange keine Geschäftsgeheimnisse verraten werden.
514;Arbeitsschutz;Muss der BR bei "Alkoholverboten" zustimmen?;Nein;Ja (Ordnung im Betrieb);Nur bei Stahl;Nur nachts;B;§ 87 Abs. 1 Nr. 1 BetrVG;Ein generelles Alkoholverbot betrifft das Verhalten der MA und ist mitbestimmungspflichtig.
515;Arbeitsschutz;Was ist eine "Suchtprävention-BV"?;Ein Fest;Regeln zum Umgang mit Sucht (Alkohol/Drogen);Lohn;Pause;B;§ 87 / § 88 BetrVG;Freiwillige oder erzwungene Vereinbarung zur Hilfe und zum Vorgehen bei Suchtproblemen im Werk.
516;Personal;Darf der AG "Video-Interviews" erzwingen?;Ja;Nein (Einwilligung/Mitbestimmung);Nur bei IT-Jobs;Nur nachts;B;DSGVO / § 94 BetrVG;Der Einsatz von Videotechnik in Auswahlverfahren bedarf einer klaren Regelung mit dem BR.
517;Personal;Was ist "Employer Branding"?;Ein Brand;Markenbildung des AG als attraktiver Chef;Lohn;Ein Abzug;B;Marketing;Massnahmen zur Mitarbeitergewinnung; der BR kann hier bei Ausschreibungen mitreden.
518;Gehalt;Was ist eine "Inflationsausgleichsprämie"?;Normaler Lohn;Steuerfreie Einmalzahlung (befristet);Ein Kredit;Ein Abzug;B;Gesetzgeber;Sonderzahlung bis zu 3000 Euro, die der AG freiwillig oder tariflich leisten konnte/kann.
519;Gehalt;Darf der BR "Lohnabrechnungen per App" erzwingen?;Nein;Ja (über Mitbestimmung IT);Nur im Büro;Nur nachts;B;§ 87 Abs. 1 Nr. 6 BetrVG;Die Art und Weise der Entgeltauszahlung und -mitteilung kann Gegenstand von BVs sein.
520;Bildung;Darf der BR "Coaching für den Vorsitz" fordern?;Nein;Ja (als erforderliche Schulung);Nur bei Streik;Nur privat;B;§ 37 Abs. 6 BetrVG;Führungsaufgaben im BR-Gremium können eine spezielle Schulung/Coaching rechtfertigen.
521;Allgemein;Was ist ein "Gesamt-Jugend-BR" (GJAV)?;Alle Azubis;Gremium auf Unternehmensebene für Azubis;Ein Gesetz;Ein Abzug;B;§ 72 BetrVG;Bestehen im Unternehmen mehrere JAVs, wird eine GJAV gebildet.
522;Stahl;Darf der BR "Besuchsgruppen am Hochofen" regeln?;Nein;Ja (Ordnung und Sicherheit);Nur bei Stahl;Nur nachts;B;§ 87 Abs. 1 Nr. 1 BetrVG;Der Zutritt Betriebsfremder zum Werk kann durch den BR mitgestaltet werden (Sicherheitsprotokolle).
523;Arbeitszeit;Darf der AG "Sonntagsarbeit im Büro" anordnen?;Ja;Nein (nur bei Ausnahmen/Gesetz);Nur bei Stahl;Nur nachts;B;§ 9 ArbZG;Sonntagsarbeit ist grundsätzlich verboten, außer es liegen gesetzliche Ausnahmetatbestände vor.
524;Arbeitszeit;Muss der BR bei "Rufbereitschaft-Pauschalen" mitreden?;Nein;Ja (Mitbestimmung Vergütung);Nur im Winter;Nur nachts;B;§ 87 Abs. 1 Nr. 10 BetrVG;Die Entlohnungsgrundsätze für Bereitschaft sind mitbestimmungspflichtig.
525;Rechte;Darf der BR "Interviews für die Presse" geben?;Ja (als BR-Mitglied);Nein;Nur bei Streik;Nur nachts;A;GG / Pressefreiheit;Ein BR darf über seine Arbeit berichten, muss aber Geschäftsgeheimnisse und Loyalitätspflichten wahren.
526;Arbeitsschutz;Wer zahlt den "Gehörschutz" am Hochofen?;Der MA;Der Arbeitgeber;Die Gewerkschaft;Die Stadt;B;§ 3 ArbSchG;Der AG muss alle Kosten für den erforderlichen Arbeitsschutz tragen.
527;Personal;Was ist eine "Versetzungsklausel"?;Regel für Urlaub;Vertragsklausel zur Flexibilität;Ein Lob;Ein Abzug;B;Arbeitsvertrag;Erlaubt dem AG, den MA an andere Standorte oder Positionen zu versetzen (muss fair sein).
528;IT-Datenschutz;Was ist "Bring Your Own Device" (BYOD)?;Urlaub;Nutzung privater Geräte für die Arbeit;Ein Streik;Ein Abzug;B;IT-Recht;Erfordert zwingend eine BV wegen massiver Datenschutz- und Sicherheitsrisiken.
529;IT-Datenschutz;Darf der AG "Social Media Richtlinien" erlassen?;Ja;Nein (Mitbestimmung);Nur bei Apple;Nur bei Azubis;B;§ 87 Abs. 1 Nr. 1 BetrVG;Regeln zum Verhalten in sozialen Medien (wenn Firmenbezug) unterliegen der Mitbestimmung.
530;Allgemein;Was ist ein "Teilbetrieb"?;Ein Parkplatz;Eigenständige Abteilung mit Leitung;Ein Gesetz;Ein Abzug;B;§ 111 BetrVG;Wichtig für die Bestimmung von Betriebsänderungen und Kündigungsschutz.
531;Stahl;Darf der BR "Umweltmaßnahmen" im Werk fordern?;Nein;Ja (indirekt über Gesundheitsschutz);Nur bei Stahl;Nur nachts;B;§ 80 Abs. 1 Nr. 9 BetrVG;Der BR soll die Förderung des Arbeitsschutzes und des betrieblichen Umweltschutzes unterstützen.
532;Abmahnung;Muss die Abmahnung "schriftlich" sein?;Nein (mündlich geht auch);Ja;Nur bei Stahl;Nur bei Azubis;A;Arbeitsrecht;Mündliche Abmahnungen sind wirksam, aber schwer beweisbar. Schriftform wird dringend empfohlen.
533;Urlaub;Darf der BR "Betriebsferien" vorschlagen?;Nein;Ja (Initiativrecht);Nur im Sommer;Nur im Winter;B;§ 87 Abs. 1 Nr. 5 BetrVG;Der BR kann verlangen, dass der gesamte Betrieb zu einer bestimmten Zeit schließt.
534;Betriebsvereinbarung;Was ist eine "Nachwirkung"?;Urlaub;Geltung der BV nach Kündigung bis zu einer neuen;Ein Lob;Ein Abzug;B;§ 77 Abs. 6 BetrVG;Erzwingbare BVs wirken nach, damit kein rechtsfreier Raum entsteht.
535;Personal;Darf der BR "Sprachtests" bei Einstellungen fordern?;Nein;Ja (wenn für Sicherheit nötig);Nur bei Stahl;Nur nachts;B;§ 94 / § 99 BetrVG;Wenn Sprachkenntnisse zwingend für die Unfallverhütung sind, kann dies ein Auswahlkriterium sein.
536;Arbeitsschutz;Was ist die "VBG"?;Ein Verein;Verwaltungs-Berufsgenossenschaft;Ein Gesetz;Ein Abzug;B;SGB VII;Träger der gesetzlichen Unfallversicherung für viele Branchen.
537;Kuendigung;Was ist eine "Austrittsprämie"?;Lohn;Geld für freiwilliges Verlassen (Turboprämie);Ein Kredit;Ein Abzug;B;Sozialplan;Wird oft in Krisen gezahlt, um langwierige Kündigungsprozesse zu vermeiden.
538;Arbeitszeit;Darf der BR "Sabbaticals" fordern?;Nein;Ja (als Rahmenregelung);Nur im Büro;Nur nachts;B;§ 87 / § 88 BetrVG;Die Einführung von Langzeitkonten für Auszeiten kann per BV geregelt werden.
539;Stahl;Was regelt die "Stahl-Montan-Sonderumlage"?;Urlaub;Finanzierung der Mitbestimmungsorgane;Lohn;Pause;B;MontanMitbestG;Besonderheit der Finanzierung im Bereich der paritätischen Mitbestimmung.
540;Allgemein;Was ist ein "Wahleinspruch"?;Ein Fest;Anfechtung der BR-Wahl;Ein Streik;Ein Abzug;B;§ 19 BetrVG;Innerhalb von zwei Wochen kann die Wahl beim Arbeitsgericht angefochten werden.
541;IT-Datenschutz;Darf der AG "ChatGPT" im Werk verbieten?;Ja;Nein (Mitbestimmung);Nur bei IT-lern;Nur nachts;B;§ 87 Abs. 1 Nr. 1/6 BetrVG;Nutzungsregeln für KI am Arbeitsplatz sind mitbestimmungspflichtig.
542;Freistellung;Darf der BR-Vorsitzende "Homeoffice" machen?;Ja (wie andere MA);Nein;Nur bei Streik;Nur nachts;A;§ 37 / § 38 BetrVG;Freigestellte dürfen nicht schlechter gestellt werden als vergleichbare MA mit Homeoffice-Option.
543;Versetzung;Muss der BR bei "Zuweisung neuer Software" zustimmen?;Nein (meist keine Versetzung);Ja;Nur bei Stahl;Nur bei Chefs;A;§ 95 Abs. 3 BetrVG;Ein neues Werkzeug allein ist keine Versetzung, aber die Einführung der Software unterliegt § 87.
544;Geheimhaltung;Darf der BR "Lohnsummen" im Werk aushängen?;Nein (Datenschutz);Ja;Nur bei Streik;Nur nachts;A;§ 79 BetrVG / DSGVO;Aggregierte Daten gehen, aber Rückschlüsse auf Einzelne müssen ausgeschlossen sein.
545;Betriebsvereinbarung;Was ist eine "Öffnungsklausel"?;Regel für Fenster;Tarifvorrang wird für BV geöffnet;Ein Gesetz;Ein Abzug;B;§ 77 Abs. 3 BetrVG;Erlaubt es dem BR, Dinge zu regeln, die eigentlich den Gewerkschaften vorbehalten sind.
546;Arbeitsschutz;Muss der BR bei "Kantine-Preisen" mitreden?;Nein;Ja (Soziale Einrichtung);Nur im Sommer;Nur nachts;B;§ 87 Abs. 1 Nr. 8 BetrVG;Die Preisgestaltung in betriebseigenen Kantinen ist mitbestimmungspflichtig.
547;Kuendigung;Darf der AG "wegen privater Schulden" kündigen?;Nein;Ja (bei Lohnpfändungen/Extremfall);Nur bei Banken;Nur im Sommer;B;KSchG;Nur wenn die Pfändungen den AG unzumutbar belasten (hoher Verwaltungsaufwand).
548;Urlaub;Darf der BR "Urlaubsvergabe per Los" vorschlagen?;Nein;Ja (bei Konflikten);Nur bei Stahl;Nur im Winter;B;§ 87 Abs. 1 Nr. 5 BetrVG;Wenn sich MA nicht einigen können, kann der BR faire Auswahlverfahren mitbestimmen.
549;Arbeitszeit;Darf der AG "Dienst-Handy-Ausschalten" verbieten?;Ja;Nein (Recht auf Nichterreichbarkeit);Nur bei Chefs;Nur nachts;B;ArbZG / BetrVG;In der Freizeit müssen MA in der Regel nicht für den AG erreichbar sein (außer Rufbereitschaft).
